smiles,surface_tension,predicted_surface_tension
C1=CC=CC=C1,28.2,
C1=CC=CC=C1C,28,
C1=C(C(=CC=C1)C)C,29.6,
C1=C(C=CC=C1C)C,28.4,
C1=CC(=CC=C1C)C,27.8,
C1=CC=CC=C1CC,28.6,
CC1=CC=CC(C)=C1C,28.3,
CC1=C(C)C=CC(C)=C1,29.2,
CC1=CC(C)=CC(C)=C1,28.1,
CCCC1=CC=CC=C1,28.4,
CCC1=C(CC)C=CC=C1,29.8,
CCC1=CC(CC)=CC=C1,28.7,
CCC1=CC=C(CC)C=C1,28.5,
CCCCC1=CC=CC=C1,28.7,
CC(C)CC1=CC=CC=C1,27,
CCC(C1=CC=CC=C1)C,28,
CC(C1=CC=CC=C1)(C)C,27.6,
CC1=CC=CC=C1CC,29.7,
CC1=CC=CC(CC)=C1,28.5,
CC1=CC=C(CC)C=C1,28.3,
CCCCCCCCCCC1=CC=CC=C1,30.5,
C1=CC=CC=C1C=C,31,
C2=C1CCCCC1=CC=C2,33.2,
CO,22.1,
C(C)O,22.2,
C(CO)C,23.3,
CC(O)C,20.8,
C(CCO)C,24.2,
CC(O)CC,22.1,
CC(C)CO,22.4,
CC(C)(O)C,20,
C(CCO)CC,25,
CC(C)CCO,23.7,
CCCCCCO,25.9,
C(C(C)C)C(C)O,22.6,
C(C(CC)CO)C,24.5,
CCCCCCCO,26.7,
CCCCCCCCO,27.1,
C(C(CO)CC)CCC,27.1,
CCCCCCCCCO,27.9,
CCCCCCCCCCO,28.4,
CCCCCCCCCCCO,28.6,
CCCCCCCCCCCCO,29.4,
C=CCO,25.3,
C#CCO,35.4,
C(OC)CO,30.8,
C1C(CCCC1)O,32.9,
OC1CCCCCC1,32.7,
OCC1=CC=CC=C1,37,
CCC(C1=CC=CC=C1)O,33.5,
C1=C(C)C=CC=C1O,35.7,
C(CO)O,47.8,
C(C(O)C)O,36,
OCCCO,45.2,
C(C(C)O)CO,37.7,
C(O)COCCO,44.8,
C(C)OCCO,28.6,
CC(O)COC,27.6,
OCCOCCC,29.3,
C(OCCO)CCC,27.4,
OCCOCCOCC,33.5,
OCCOCCOCCOC,36.8,
OCCOCCCCCC,27.7,
C(C)CCOCCOCCO,29.7,
OCCOCCOCCO,45.1,
OCCOCCOCCCCCC,29.8,
OCCOCCOCCOCCCC,32,
OC(CO)COC(C)=O,41.4,
C(OCC)C,16.5,
COCCCC,19.5,
COC(C)(C)C,19.1,
CCCOCC,19.3,
CCCOCCC,20,
CC(OC(C)C)C,17.3,
O(C)CCCCC,21.4,
O(CCCC)CC,20.2,
CCCCOCCCC,22.4,
O(CCCCC)CCCCC,24.4,
O(CCCCCC)CCCCCC,25.4,
C1(COCC2=CC=CC=C2)=CC=CC=C1,39.6,
CC1CO1,22.2,
C1=COC=C1,23.8,
C1CCCO1,26.5,
COCCOC,24.2,
C1COCCO1,32.8,
COCCOCCOC,29.4,
COCCOCCOCCOCCOC,33.7,
C(OC)OC,20.7,
O(C(OC)C)C,21,
O(CC)COCC,20.2,
O(C(OCC)C)CC,20.9,
CC(OCCCC)OCCCC,24,
O(C(OC(O1)C)C)C1C,25.6,
CCOC(OCC)OCC,23.1,
CCOCCOCCOCC,26.8,
COC1=CC=CC=C1,34.5,
CCOC1=CC=CC=C1,32.4,
COC1=CC=C(C)C=C1,33.5,
C=CCOC1=CC=CC=C1,33.3,
CCCOC1=CC=CC=C1,31.6,
CC=O,20.6,
CCCC=O,24.2,
C/C=C/C=O,25.7,
O=CCC(C)C,23.2,
O=CC(OC=C1)=C1,41.3,
C1=CC=CC=C1C=O,38,
OC1=CC=CC=C1C=O,42.3,
CC(=O)C,22.7,
C(C(C)=O)C,24,
C(C(C)C)C(C)=O,23.5,
CC(C)=CC(C)=O,27.9,
C(C(C)=O)C(C)(O)C,29.6,
C(CC(C)=O)C(C)C,25.3,
C(C(C)C)C(=O)CC(C)C,24.1,
O=C1CCCC1,32.8,
O=C1CCCCC1,34.3,
CC1=CC(=O)CC(C1)(C)C,31.2,
O=CO,38.2,
CC(O)=O,27.1,
O=C(O)CC,26.2,
C=CC(O)=O,28.5,
C(C(O)=O)CC,26.1,
CC(C)C(O)=O,24.6,
OC(=O)CC=C,28.3,
CC(C(O)=O)=C,29.1,
O=C(O)CCCC,26.5,
CC(C)CC(O)=O,25,
O=C(O)CCCCC,27.2,
O=C(O)CCCCCC,27.7,
O=C(O)CCCCCCC,28.7,
O=C(O)CCCCCCCC,29.5,
CCCCCCCC/C=C\CCCCCCCC(O)=O,32.3,
O=COC,24.3,
O=COCC,23.3,
O=COCCC,23.9,
O=COC(C)C,21.7,
O=COCCCC,24.5,
O=COCC(C)C,23.3,
O=COCCCCC,25.5,
O=COCCCCCC,26.4,
O=COCCC(C)C,24.4,
CC(OC)=O,24.5,
C(OC(C)=O)C,23.5,
CC(OC=C)=O,23.6,
O=C(OCC=C)C,25.8,
CC(OCCC)=O,23.8,
CC(OC(C)C)=O,21.8,
CC(OCC(C)C)=O,23.1,
CC(OC(C)CC)=O,23,
CC(OC(C)(C)C)=O,21.9,
C(C)CCOC(C)=O,24.8,
CC(OCCCCC)=O,25.1,
C(C(C)C)COC(=O)C,24,
CC(OCCCCCC)=O,26,
CC(OCCCCCCCC)=O,27.3,
C(OC(C)=O)COCC,28,
C=CC(OC)=O,25.2,
O=C(OC)CC,24.2,
O=C(OC)CCC,24.5,
O=C(OC)C(C)C,23.2,
CCC(OCC)=O,23.8,
O=C(OCC)C(O)C,28.3,
CCC(OCCC)=O,24.2,
O=C(OCC)C=CC,26.6,
CCCC(OCC)=O,23.9,
CC(C)C(OCC)=O,22.7,
O=C(OC)CC(C)C,23.7,
O=C(OC)CCCC,25.2,
CCC(OCCCC)=O,24.8,
CCCC(OCCC)=O,24.6,
CCCCCC(OC)=O,25.9,
CCCCC(OCC)=O,24.7,
O=C(OCC)CC(C)C,23.2,
O=C(OCCC)C(C)C,23.3,
CCCC(OCCCC)=O,25.2,
O=C(OCC)CCCCC,25.4,
CC(C)CC(OCCC)=O,23.8,
O=C(OC)CCCCCC,26.6,
O=C(OCC)CCCCCC,26,
O=C(OC)CCCCCCC,27.4,
O=C(OCCCC)CCCC,25.7,
O=C(OCC)CCCCCCC,26.8,
O=C(OC)CCCCCCCC,28.7,
O=C(OCCCCC)CCCC,25.7,
O=C(OC)CCCCCCCCC,28,
O=C(OC)CCCCCCCCCCC,29.1,
O=C(OC)CCCCCCCCCCCCC,29.4,
O=C(OCCCCCCCC)CCCCCCC,28.3,
O=C(OC)CCCCCCCCCCCCCCC,29.6,
O=C(OC)CCCCCCCCCCCCCCCCC,30.3,
O=C(OC)CC(=O)C,32.6,
O=C(OCC)CC(=O)C,31.9,
O=C(OC)C=CC(=O)OC,37.7,
O=C(OCC)C=CC(=O)OCC,32.1,
O=C(OCCCC)C=CC(=O)OCCCC,30.3,
O=C(OCCCC)CCCCCCCCC(OCCCC)=O,31.6,
CC(OCC(OC(C)=O)COC(C)=O)=O,35.9,
O=C(OCC(OC(CCC)=O)COC(CCC)=O)CCC,30.5,
CCCCCCCC(OCC(COC(CCCCCCC)=O)OC(CCCCCCC)=O)=O,29.3,
O=C(OC)C1=CC=CC=C1,37.3,
OC1=CC=CC=C1C(OC)=O,39.2,
O=C(OCC)C1=CC=CC=C1,34.6,
O=C(OCC)C1=CC=CC=C1C(OCC)=O,36.7,
C[Si](C)(C)C,12.3,
CC[SiH](CC)CC,20.3,
CCO[SiH](OCC)OCC,20.8,
CC[Si](CC)(CC)CC,22.5,
C[Si](C)(C)O[Si](C)(C)C,15.4,
CC[Si](CC)(CC)O[Si](CC)(CC)CC,22,
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,16.6,
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,18.2,
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,17.4,
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,18.2,
