smiles,surface_tension
CC1=C(C=C(C=C1)Cl)Cl,38.29
CCCNCCC,6.58
CC(=C)C(=O)O,26.5
CC(CO)OCC(C)OCC(C)O,35
C1=CC=C(C=C1)P(Cl)Cl,25
C1=CC=C(C=C1)CN,38.82
CCCC=O,29.9
CCC1CO1,23.5
CC1=CC(=CC=C1)[N+](=O)[O-],43.5
CC1OC(OC(O1)C)C,27.82
C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl,37.5
C(C(Cl)(Cl)Cl)Cl,32.1
CC1=CCC(CC1)C(=C)C,26
CS(=O)(=O)O,50.584
CCC(C)(C)O,22.77
C(CO)O,47.99
CCCC#N,27.33
CN1CCCC1=O,40.7
CCCCCOC(=O)C,12
CC1=CC=C(C=C1)C(C)C,28.09
CCC1=CN=C(C=C1)C,36
CCCCC(CC)C=O,27.8571
CCCN,22.4
CCCCCCCCCCCCCCC1=CC=CC=C1,32.881
CC(C)Cl,18.09
CC(C)(C)N,16.87
CC(C)C#N,24.93
C=C(CCl)Cl,29.9
CC(C)C(=O)O,24.4
CC1=CC=CC=C1Cl,33.44
CC1=CC(=C(C=C1)C)C,29.71
CCC(C)CC,18.12
CCC(=O)CC,24.7
C1CC(OC1)CO,37
CCCC(=O)OC(=O)CCC,28.84
C(CCl)CCl,33.93
CCCCCCCCCl,27.65
CCCCCCOCCOCCO,29.6
CCCCCCCCC=CCCCCCCCC(=O)OC,31.3
C1=CC=C(C=C1)OCCO,42
CC(=C)C#N,24.4
CC1(C2CCC(=C)C1C2)C,26.85
CCCCOCCOCCOCCO,31.4
C(=CCl)Cl,28
CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)CN)C,33.8
CC(C)CCCC(C)CCCC(C)CCCC(C)(C=C)O,28.47
CCCCl,21.78
C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,18.5
CCC=CC,16.8
CCCCCCCCCCCCC,25.55
CCCCCCCCCCCCCCC,27.07
CCC=CC,16.41
CCCCCCCCCCC,24.21
C(C=CCCl)Cl,24
CCCCCCC=O,25.68
CCC(C)N,22.42
C1=CC=C(C=C1)C(=O)N,47.26
C(=CCl)Cl,25
C1=CC=C2C(=C1)N=C(S2)SCSC#N,70.39
C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O,72.1
CC(Cl)(Cl)Cl,25.4
CC(C)CCCCCO,27.53
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,20
C(C(F)(F)Br)(F)(F)Br,18
CN(CCO)CCO,40.9
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,45.1
CCCCCC(=O)O,23.4
CCCCCCCCCCCC(=O)O,26.6
CCCCCCCCCCCCCCCC,27.47
CC(C)OP(=O)(C)OC(C)C,28.8
COC(=O)OC,31.925
CC(=O)O.C(CCCBr)CCO,27
CCCCC1=CC=CC=C1,29.23
CCC(C)C1=CC=CC=C1,28.03
CC(CO)CO,72.2
CC(COC(C)(C)C)O,24.2
CC(CBr)Br,34.14
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],25.82
CC(CC=O)CC(C)(C)C,25.5
C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,19.2
CCOC(C)(C)C,19.8
CCCC(=O)CCC,25.2
CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC#C,34
O,71.97
CC(COC1=CC=CC=C1)O,38.1
CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,33.9
CCCCCCCCCCCCCC,26.1
O(CCCCCCCC)CCCCCCCC,27.1
CCCCCCCC(OCCCCCCCCCCCC)=O,28.3
CCCCCCCC(OCC(CCC)CCCCC)=O,27.4
O=C(OC(C)C)CCCCC(OC(C)C)=O,28.7
CCCCCCCCCCCC,24.8
CCCCC(CC)C(OCC(C)(C)COC(C(CC)CCCC)=O)=O,28
CCCCCCCCCCCC(OCCC(C)C)=O,28.3
O=C(OCCC(C)C)CCCCCCCCC(OCCC(C)C)=O,29.4
CCC(CCCC(CCCC(C)C)C)C,24.9
CC(C)(C)CC(C)CC(C)(C)C,21.6
CC(C)(C)CC(C)(C)CC(C)CC(C)(C)C,24.2
O=C(OCCCCCCCC)OCCCCCCCC,28.8
CCCCCCCC(OCCCOC(CCCCCCC)=O)=O,27.8
CC(C)(C)C(OCCCCCCCC(C)C)=O,25.4
CCCCCCCCCCCC(OCC(CC)CCCC)=O,28.7
CC(C)(COC(CCCCCC)=O)COC(CCCCCC)=O,28.8
CC(C)CCCCCC(OCCCCCCC(C)C)=O,26.2
O=C(OC(C)C)CCCCCCCCCCCCC,28.3
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,29.5
CC(C)CCCCCCCCCCCCCCC(OC(C)C)=O,27.6
O=C(C(CC)CCCC)OCC(COC(C(CC)CCCC)=O)OC(C(CC)CCCC)=O,28.9
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,18.8
CCCCC,15.5
C(C)CCCC,18
CCCCCCC,19.8
CCCCCCCC,21.1
CCCCCCCCC,22.4
CCCCCCCCCC,23.4
CCCCCCCCCCC,24.2
CCCCCCCCCCCCC,25.6
CCCCCCCCCCCCCCC,26.7
CCCCCCCCCCCCCCCC,27.1
CCCCCCCCCCCCCCCCC,27.5
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,29
CC(C)(C)CC,15.8
CC(C)C(C)C,16.9
CC(C)(C)C(C)C,18.3
CC(C)(C)CCC,17.5
CC(C)CCCC,18.8
CC(C)(C)C(C)CC,20.2
CC(C)(C)CC(C)C,18.3
CCC(CC)CCC,21.1
CC(C)(CC(C)(C)C)C,19.9
CCCCCC(C)C,20.3
CCCCCCC(C)C,21.4
C1CCCC1,22
C1CCCCC1,24.6
C1CCCCCC1,27
C1CCCCCCC1,29.3
C(CCC1)(C1)C,21.7
CCC1CCCC1,23.3
CCCC1CCCC1,24.4
C(CC1)CC1C(C)C,23.9
C(CC1)CC1CC(C)C,24.3
C(CCCC1)(C1)C,23.3
CC1CCCC(C)C1,23.3
CC1CCCCC1C,24.4
CCCC1CCCCC1,25.8
C(CCCC1)(C1)C(C)C,26
C(CCCC1)(C1)CCCC,26.5
C(CCC1CC(C)C)CC1,25.3
C(CCC1C(C)(C)C)CC1,26.2
C12CCCCC1CCCC2,30.6
C1=CCCC1,22
C(CCC1)(C1)=C,23.8
CC1C=CCC1,22.1
C1=CCCCC1,26.1
C(=CCCC1)(C1)C,26
C1=CC=CC=C1,28.2
C1=CC=CC=C1C,28
C1=C(C(=CC=C1)C)C,29.6
C1=C(C=CC=C1C)C,28.4
C1=CC(=CC=C1C)C,27.8
C1=CC=CC=C1CC,28.6
CC1=CC=CC(C)=C1C,28.3
CC1=C(C)C=CC(C)=C1,29.2
CC1=CC(C)=CC(C)=C1,28.1
CCCC1=CC=CC=C1,28.4
CCC1=C(CC)C=CC=C1,29.8
CCC1=CC(CC)=CC=C1,28.7
CCC1=CC=C(CC)C=C1,28.5
CCCCC1=CC=CC=C1,28.7
CC(C)CC1=CC=CC=C1,27
CCC(C1=CC=CC=C1)C,28
CC(C1=CC=CC=C1)(C)C,27.6
CC1=CC=CC=C1CC,29.7
CC1=CC=CC(CC)=C1,28.5
CC1=CC=C(CC)C=C1,28.3
CCCCCCCCCCC1=CC=CC=C1,30.5
C1=CC=CC=C1C=C,31
C2=C1CCCCC1=CC=C2,33.2
CO,22.1
C(C)O,22.2
C(CO)C,23.3
CC(O)C,20.8
C(CCO)C,24.2
CC(O)CC,22.1
CC(C)CO,22.4
CC(C)(O)C,20
C(CCO)CC,25
CC(C)CCO,23.7
CCCCCCO,25.9
C(C(C)C)C(C)O,22.6
C(C(CC)CO)C,24.5
CCCCCCCO,26.7
CCCCCCCCO,27.1
C(C(CO)CC)CCC,27.1
CCCCCCCCCO,27.9
CCCCCCCCCCO,28.4
CCCCCCCCCCCO,28.6
CCCCCCCCCCCCO,29.4
C=CCO,25.3
C#CCO,35.4
C(OC)CO,30.8
C1C(CCCC1)O,32.9
OC1CCCCCC1,32.7
OCC1=CC=CC=C1,37
